ind;site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster;
190;Platboom;09/09/2017;After;290;10;10;5;Y;Y;
191;Longbeach;06/06/2017;Before;355;34;16;20;N;N;
192;Longbeach;06/06/2017;Before;600;36;18;20;N;N;
193;Longbeach;06/06/2017;Before;294;30;16;12;N;N;
194;Longbeach;06/06/2017;Before;390;35;15;12;N;N;
195;Longbeach;06/06/2017;Before;210;13;22;8;N;N;
196;Longbeach;06/06/2017;Before;405;33;11;21;N;N;
197;Longbeach;06/06/2017;Before;705;13;18;22;Y;Y;
198;Longbeach;06/06/2017;Before;720;12;22;19;Y;Y;
199;Longbeach;06/06/2017;Before;375;13;14;5;Y;N;
200;Longbeach;06/06/2017;Before;215;14;18;7;N;N;
201;Longbeach;06/06/2017;Before;682;15;18;24;N;N;
202;Longbeach;09/09/2017;After;160;33;22;17;N;N;
203;Longbeach;09/09/2017;After;390;40;18;14;N;N;
204;Longbeach;09/09/2017;After;540;22;19;11;Y;N;
205;Longbeach;09/09/2017;After;480;24;17;9;Y;N;
206;Longbeach;09/09/2017;After;620;21;16;8;Y;N;
207;Longbeach;09/09/2017;After;215;16;6;6;Y;N;
208;Longbeach;09/09/2017;After;655;32;0;14;N;N;
209;Longbeach;09/09/2017;After;108;30;20;14;N;N;
210;Longbeach;09/09/2017;After;375;36;17;12;N;N;
211;Longbeach;09/09/2017;After;625;36;20;15;Y;N;
212;Longbeach;09/09/2017;After;660;34;21;27;Y;Y;
213;Longbeach;09/09/2017;After;500;32;14;5;Y;Y;
214;Longbeach;09/09/2017;After;404;11;27;5;Y;Y;
215;Longbeach;09/09/2017;After;750;3;14;4;Y;Y;
216;Longbeach;09/09/2017;After;750;35;23;12;Y;Y;
217;Longbeach;09/09/2017;After;640;30;20;16;Y;Y;
218;Longbeach;09/09/2017;After;450;17;19;7;Y;Y;
219;Longbeach;09/09/2017;After;620;11;15;4,5;Y;Y;
220;Longbeach;09/09/2017;After;650;19;15;6;Y;Y;
221;Longbeach;09/09/2017;After;400;32;10;14;Y;N;
222;Longbeach;09/09/2017;After;250;7;24;4;Y;N;
223;Longbeach;09/09/2017;After;750;39;21;16;N;N;
224;Longbeach;09/09/2017;After;535;35;17;13;Y;Y;
225;Longbeach;09/09/2017;After;520;27;16;8;Y;Y;
226;Longbeach;09/09/2017;After;47;9;47;5;Y;N;
227;Longbeach;09/09/2017;After;410;34;16;12;Y;N;
228;Longbeach;09/09/2017;After;635;38;16;18;Y;N;
229;Longbeach;09/09/2017;After;250;12;28;5;N;N;
230;Longbeach;09/09/2017;After;220;22;16;8;Y;Y;
231;Longbeach;09/09/2017;After;250;19;16;7;Y;Y;
232;Longbeach;09/09/2017;After;190;8;23;4;N;N;
233;Longbeach;09/09/2017;After;740;25;20;11;Y;Y;
234;Longbeach;09/09/2017;After;69;7;27;3;Y;Y;
235;Longbeach;09/09/2017;After;40;6;29;4;Y;Y;
236;Longbeach;09/09/2017;After;675;38;28;14;Y;N;
237;Longbeach;09/09/2017;After;620;34;23;12;N;N;
238;Longbeach;09/09/2017;After;780;15;25;8;Y;N;
239;Longbeach;09/09/2017;After;625;22;17;6;N;N;
240;Longbeach;09/09/2017;After;180;12;21;5;Y;N;
241;Longbeach;09/09/2017;After;161;8;22;4;N;N;
242;Longbeach;09/09/2017;After;284;138;19;16;Y;N;
243;Longbeach;09/09/2017;After;625;32;18;13;Y;N;
244;Longbeach;09/09/2017;After;500;32;21;14;N;N;
245;Longbeach;09/09/2017;After;106;7;82;9;Y;N;
246;Longbeach;09/09/2017;After;425;12;17;12;Y;N;
247;Longbeach;09/09/2017;After;50;7;49;5;Y;N;
248;Longbeach;09/09/2017;After;426;15;25;8;Y;N;
249;Longbeach;09/09/2017;After;375;33;21;18;Y;N;
250;Longbeach;09/09/2017;After;80;7;39;5;Y;N;
251;Longbeach;09/09/2017;After;510;7;23;7;Y;Y;
252;Longbeach;09/09/2017;After;527;46;25;20;Y;Y;
